title,citation,coram,decision_date,case_no,bench,pdf_path_or_url,snippet
S.K. Jain v. Union of India & Anr.,[2025] 10 S.C.R. 572,Coram : J.B. PARDIWALA *,10-10-2025,CRIMINAL APPEAL No. 628/2016,2 Judges,pdfs/S.K. Jain v. Union of India & Anr..pdf,"Army Act, 1950 – s.63 – Violation of good order and discipline – Armed Forces Tribunal Act, 2007 – s.15 – Jurisdiction, powers and authority in matters of appeal against court martial – Appellant-Army officer tried by General Court Martial on three charges-civil offence u/s.5(2) of 2006 Act rw s.69 of the 1950 Act, with regard to alleged acceptance of money from complainant; civil offence u/s.3 of Arms Act rw s.25(1B) and s.69 of the 1950 Act, with regard to alleged possession of ammunition; and act prejudicial to good order and military discipline u/s.63 of the Act with regard to unexplained possession of certain amount – GCM found the appellant guilty of charge Nos. 1 and 2, however, acquitted of charge No.3 – Tribunal held charge No.1 (corruption) not proved; that conviction of the appellant under the Arms Act not sustainable as evidence did not support possession of ammunition without license, and substituted the finding on the same charge and held the appellant guilty u/s.63, an act prejudicial to good order and discipline; and on charge No. 3 upheld the acquittal of the appellant – Tribunal modified the punishment of dismissal to that of compulsory retirement with all pensionary and retiral benefits – Correctness: Held: Factual foundation brought on record at the trial, clearly discloses an act or omission on the part of the appellant which is * Author"
Dashwanth v. State of Tamil Nadu,[2025] 10 S.C.R. 587,"Coram : VIKRAM NATH * , SANJAY KAROL, SANDEEP MEHTA",08-10-2025,CRIMINAL APPEAL No. 3633/2024,3 Judges,pdfs/Dashwanth v. State of Tamil Nadu.pdf,"Penal Code, 1860 – ss.302, 201, 363, 366 and 354-B of the IPC – Protection of Children from Sexual Offences Act, 2012 – s.8 r/w. s.7 and s.6 r/w. s.5(m) – A 7 year old female child went missing – Later, a charred body of the child was recovered in furtherance of the disclosure statement made by the appellant herein – Trial Court found appellant guilty for the charges framed u/ss.302, 201, 363, 366 and 354-B of the IPC and s.8 r/w. s.7 and s.6 r/w. s.5(m) of the POCSO Act – Appellant was sentenced in each of the aforesaid sections along with a death sentence – The trial Court also forwarded a reference u/s.366 of the CrPC for confirmation of the death sentence – Appeal preferred by the appellant before the High Court was dismissed and death sentence was confirmed – Correctness:Held: 1. The prosecution has miserably failed to prove the vital circumstances, viz., (i) last seen together theory; (ii) suspicious movement of the appellant captured in the video footage of the CCTV * Author"
Akhtar Ali @ Ali Akhtar @ Shamim @ Raja Ustad v. State of Uttarakhand,[2025] 9 S.C.R. 585,"Coram : VIKRAM NATH * , SANJAY KAROL, SANDEEP MEHTA",10-09-2025,CRIMINAL APPEAL No. 3955/2025,3 Judges,pdfs/Akhtar Ali @ Ali Akhtar @ Shamim @ Raja Ustad v. State of Uttarakhand.pdf,"Circumstantial evidence – Protection of Children from Sexual Offences Act, 2012 – ss.3 r/w 4, 5 r/w 6, 7 r/w 8 – Penal Code, 1860 – ss.376A, 363, 212, 120-B and 201 – Case of the prosecution that the deceased-minor girl was raped and sodomised and the accused-appellants were seen in close proximity to her shortly before she went missing from a wedding function and was later found dead – Prosecution relied upon motive of lust; the last seen theory and the alleged scientific evidence – Appellant No.1 was convicted u/ss.376A, IPC and ss.16, 17 3 r/w 4-7, POCSO Act and ss.363, and 201, IPC and was awarded death sentence – While, the appellant No.2 was convicted additionally u/s.212, IPC also and was sentenced accordingly – Guilt of the appellants, if was proved beyond reasonable doubt:Held: 1.1 No – The prosecution failed to prove the guilt of the appellants beyond a reasonable doubt – In cases resting on circumstantial evidence, every link in the chain must be firmly and conclusively established, leaving no room for doubt – Where two views are possible, the one favourable to the accused must be adopted. [Paras 53, 56] 1.2 As regards ‘motive’, the prosecution has merely alleged that the appellants were driven by lust – However, no independent or credible evidence has been adduced to substantiate such a motive – A bald assertion without corroboration cannot by itself form a safe basis for conviction. [Para 52]* Author"
Sushil Kumar Tiwari v. Hare Ram Sah & Ors.,[2025] 9 S.C.R. 258,"Coram : SANJAY KUMAR * , SATISH CHANDRA SHARMA",01-09-2025,CRIMINAL APPEAL No. 3813/2025,2 Judges,pdfs/Sushil Kumar Tiwari v. Hare Ram Sah & Ors..pdf,"Penal Code, 1860 – s.376(2) – Protection of Children from Sexual Offences Act, 2012 – ss.4 and 6 – Code of Criminal Procedure, 1973 – s.223 – Prosecution case that respondent nos.1 and 2 raped a minor girl, though separately – Girl became pregnant – Upon questioning, she disclosed names of the respondent nos.1 and 2 – Trial Court convicted respondent nos.1 and 2 u/s.376(2) of IPC and ss.4 and 6 of POCSO Act, 2012 – However, the High court held that the prosecution did not succeed in proving the case against the respondent nos.1 and 2 – The High Court outlined a few specific issues in the case i.e. victim’s age, date and time of incident, proof of pregnancy and abortion, and delay in lodging the FIR – Correctness:Held: 1. In the instant case, a fairly consistent and creditworthy case of the prosecution has been discarded on what could only be termed as misapplication of procedure – No culprit should manage * Author"
Jamnalal v. State of Rajasthan and Another,[2025] 9 S.C.R. 98,"Coram : B.V. NAGARATHNA * , K.V. VISWANATHAN",06-08-2025,CRIMINAL APPEAL No. 3396/2025,2 Judges,pdfs/Jamnalal v. State of Rajasthan and Another.pdf,"Code of Criminal Procedure, 1973 – s.389 – Protection of Children from Sexual Offences Act, 2012 – s.3/4(2) – Penal Code, 1860 – s.376(3) – Respondent no.2 was found guilty for the offences punishable u/s.3/4(2) of POCSO Act as well as u/s.376(3) of IPC – Respondent no.2 was sentenced  u/s.3/4(2) of POCSO Act and no sentence was imposed u/s.376(3) in view of s.42 of POCSO Act – Insofar as s.3/4(2) of POCSO Act was concerned, respondent no.2 was sentenced to undergo 20 years rigorous imprisonment – However, the High Court suspended the sentence of respondent no.2 and enlarged him on bail till the pendency of the appeal – Correctness:Held: 1. The High Court has not adverted to any of the relevant factors for considering the case for suspension u/s.389 and keeping in mind the antecedents of the respondent no.2, this Court is of the opinion that High Court was not justified in suspending the sentence. [Para 12]2. The reasoning of the High Court, falls far short of the parameters required u/s.389 of CrPC for enlargement of a convict, punished for heinous offence, on bail after suspending the sentence – The finding that no sexual assault was found, without considering the overall nature of the evidence of the case, is completely untenable – * Author"
Deepak Kumar Sahu v. State of Chhattisgarh,[2025] 8 S.C.R. 395,Coram : SUDHANSHU DHULIA *,05-08-2025,CRIMINAL APPEAL No. 3352/2025,2 Judges,pdfs/Deepak Kumar Sahu v. State of Chhattisgarh.pdf,"Penal Code, 1860 – ss. 450, 376(2) – Protection of Children from Sexual Offences Act, 2012 – s.4 – Allegation that appellant-accused entered the house of victim aged about 15 years and sent her brother aged about 11 years to bring a pack of chewing tobacco – Once the brother left the house, the accused forced the victim to lie on the cot lying in the porch of the house, gagged her mouth and then committed sexual intercourse – Trial Court convicted accused u/ss.450, 376(2) of IPC and s.4 of the POCSO Act – The High Court upheld and confirm the conviction – Correctness:Held: 1. The High Court was wholly justified in upholding and confirming the conviction and sentence awarded to the appellant-convict, by the trial court. [Para 6.3]2. Evaluating the total evidence in light of the principles of law, evidentiary appreciation and application, with the evidence of the victim at the forefront, it has to be stated that victim’s evidence was entirely probable, natural and trustworthy who with lucidity narrated the whole incident about commission of offence against her by the accused – There exists no reason, much less compelling reasons, to disbelieve and discard her testimony – Her brother’s testimony as a child witness was rationally and logically supportive * Author"
Bhanei Prasad @ Raju v. State of Himachal Pradesh,[2025] 9 S.C.R. 91,"Coram : ARAVIND KUMAR, SANDEEP MEHTA",04-08-2025,SPECIAL LEAVE PETITION (CRIMINAL) No. 11587/2025,2 Judges,pdfs/Bhanei Prasad @ Raju v. State of Himachal Pradesh.pdf,"Protection of Children from Sexual Offences Act, 2012 –  ss.6, 29 – Penal Code, 1860 – s.506 – Sexual assault on minor – Repeated aggravated penetrative sexual assault by father upon his minor daughter, aged ten years old – These acts were sustained, deliberate assaults within the safety of the home – Conviction of the father u/s.6 POCSO Act and s.506 IPC and imposition of life imprisonment by the courts below – Correctness:Held: Conviction and sentence awarded by the courts below found to be just, lawful and necessary – No infirmity or perversity in the concurrent findings of the courts below – Presumption u/s.29 stood unrebutted – Victim’s testimony was unwavering, medically corroborated, and free from embellishment – Her disclosure, though delayed, was truthful and borne out of perennial trauma and threats she has undergone – Testimony of a child victim, if found credible and trustworthy, requires no corroboration – Courts below have not merely accepted the victim’s account, they have validated it through unimpeachable scientific evidence – DNA report sealed the evidentiary chain and has dispelled all doubts in the prosecution case – No daughter, however aggrieved, would fabricate charges of this magnitude against her own father merely to escape household discipline – Such offences of sexual abuse deserve nothing but the severest condemnation and deterrent punishment – Entertaining of the present petition or remotely considering the grant of bail, after the guilt has been proved and "
Suresh v. The State of Uttar Pradesh & Anr. R1: State of Uttar Pradesh R2: Devi Singh,[2025] 8 S.C.R. 305,"Coram : PANKAJ MITHAL * , AHSANUDDIN AMANULLAH",01-08-2025,CRIMINAL APPEAL No. 347/2018,2 Judges,pdfs/Suresh v. The State of Uttar Pradesh & Anr. R1: State of Uttar Pradesh R2: Devi Singh.pdf,"Juvenile Justice (Care and Protection of Children) Act, 2000 – Juvenile Justice (Care and Protection of Children) Rules, 2007 – r.12 – Procedure to be followed in determination of Age – FIR was filed against Respondent No.2 and his father u/ss.452 and 302, IPC – Respondent No.2 pleaded juvenility – Trial Court declared the Respondent No.2 to be a ‘juvenile’ on the date of the incident – Challenged by appellant – Order upheld by High Court – Interference with:Held: r.12(3)(a) lays down the sequential list of certificates to be examined and the order thereof – In the present case, as no ‘matriculation or equivalent certificates’ were available u/r.12(3)(a)(i), thus u/r.12(3)(a)(ii), ‘date of birth certificate from the school (other than a play school) first attended’ was attracted and the certificate issued by the first attended school was taken as conclusive proof of date of birth – However, the deposition of the School’s Headmaster to the effect that the birth-date was noted on an oral representation by Respondent No.2’s father, makes the said certificate unreliable – Other school certificates were issued following this and therefore, are not correct, in the face of conflicting public records and public documents as also the Medical Report which state to the contrary – Thus, the certificate issued by the first attended school could not have been taken as conclusive proof of date of birth of Respondent No.2, discarding Form (A) u/r.2 of * Author"
Jai Prakash v. State of Uttarakhand,[2025] 8 S.C.R. 243,"Coram : VIKRAM NATH * , SANJAY KAROL, SANDEEP MEHTA",16-07-2025,CRIMINAL APPEAL No. 331/2022,3 Judges,pdfs/Jai Prakash v. State of Uttarakhand.pdf,"Penal Code, 1860 – ss.376, 377, 302 – Protection of Children from Sexual Offences Act, 2012 – ss.5, 6 – Allegation against the appellant that he lured innocent children to his dwelling, took his pick from them and let others go – He allegedly exploited a girl child and killed her – The punishment handed down to the appellant by the Courts below was of death penalty – Correctness:Held: 1. There are no grounds for interference as far as conviction is concerned and the sentence of appellant is reduced to life imprisonment without remission extending to the natural life. [Paras 13 and 22]2. There is no dispute about the identity or the cause of death of X – PW4-doctor, conducted the post-mortem of X – In his deposition, he stated that the injuries on the body indicate sexual assault – All injuries were caused prior to the death – The causation of death was ascertained as strangulation by hand, after the commission of forceful rape – Body of X was discovered from the hut of appellant – It was proven beyond doubt that the appellant was last seen with X inside his hut on the date of incident, and this was immediately prior to the occurrence of the incident – Furthermore, the DNA obtained from Ext.9 (underwear of the appellant) matches with samples of both X and the appellant – Taking a cumulative * Author"
Amol Bhagwan Nehul v. The State of Maharashtra & Anr.,[2025] 7 S.C.R. 150,"Coram : B.V. NAGARATHNA * , SATISH CHANDRA SHARMA",26-05-2025,CRIMINAL APPEAL No. 2835/2025,2 Judges,pdfs/Amol Bhagwan Nehul v. The State of Maharashtra & Anr..pdf,"Code of Criminal Procedure, 1973 – s.482 – Quashing of criminal case – Complainant alleged that the appellant forcibly had sexual intercourse with her on false promise of marriage – Complaint made and chargesheet filed against appellant u/ss.376, 376(2)(n), 504, 506 IPC – Appellant sought quashing of criminal case – High Court dismissed the petition – Correctness:Held: It does not appear from the record that the consent of the complainant was obtained against her will and merely on an assurance to marry – Narrative of complainant does not corroborate with her conduct – Consent of complainant as defined u/s.90 IPC also cannot be said to have been obtained under a misconception of fact – No material to substantiate “inducement or misrepresentation” on the part of appellant to secure consent for sexual relations without having any intention of fulfilling said promise – Criminal prosecution against the appellant is probably with an underlying motive and disgruntled state of mind – No reasonable possibility that complainant or any woman being married before and having a child of four years, would continue to be deceived by the appellant or maintain a prolonged association or physical relationship with an individual who has sexually assaulted and exploited her – Not a case where there was a false promise to marry to begin with – Consensual relationship turning sour or partners becoming distant cannot be a ground for invoking criminal machinery of the * Author"
